model,trial,seed,worst_start,max_R,min_certificate,fail_windows,total_actual_weighted_mass,impossible_product_weighted_mass,impossible_product_intersections
independent_square,66,9672105876578051133,665075,285.8723174111569,-265.6,18010,656.6000000000074,272.93333333332413,3070
independent_square,67,10733501782915983881,433153,104.87231741115693,-84.6,16641,475.6000000000223,97.66666666666906,1294
independent_square,68,6181574077228609181,97349,101.67231741115694,-81.4,21590,472.4000000000154,91.5333333333345,780
independent_square,69,10236555234450929913,213872,180.00565074449025,-159.73333333333332,15537,550.7333333333469,180.80000000000143,1213
independent_square,70,4313037227833728590,936054,71.60565074449026,-51.333333333333336,16087,442.3333333333429,101.80000000000155,808
independent_square,71,342183982186129667,841919,65.47231741115694,-45.2,16153,436.2000000000197,40.06666666666651,466
independent_square,72,15568465314337253201,645629,104.47231741115694,-84.2,19025,475.2000000000155,91.80000000000119,813
independent_square,73,10042557594146017130,498075,115.60565074449026,-95.33333333333333,19178,486.33333333334974,81.0666666666674,743
independent_square,74,4877169916391024896,767781,104.87231741115693,-84.6,17534,475.6000000000188,76.06666666666757,805
independent_square,75,5407317260509235826,893320,119.20565074449027,-98.93333333333334,21085,489.93333333334556,130.26666666666972,1004
independent_square,76,15318745980094274562,917563,102.1389840778236,-81.86666666666666,18239,472.8666666666851,85.46666666666957,1137
independent_square,77,11362243006856914334,452333,96.20565074449027,-75.93333333333334,23554,466.9333333333522,100.06666666666814,933
independent_square,78,5093856578101258014,577333,107.00565074449027,-86.73333333333333,16209,477.73333333335324,110.73333333333655,1154
independent_square,79,11454705846777454509,41083,101.60565074449026,-81.33333333333333,18881,472.3333333333538,102.00000000000242,1090
independent_square,80,2117215843390847875,346019,172.20565074449027,-151.93333333333334,24821,542.9333333333382,64.13333333333331,310
independent_square,81,18408954351258253784,71344,171.5389840778236,-151.26666666666668,15642,542.2666666666823,232.33333333333508,977
independent_square,82,15072521947203003749,603099,102.87231741115693,-82.6,19299,473.6000000000169,81.66666666666823,966
independent_square,83,13598361418396299901,346828,97.9389840778236,-77.66666666666667,24833,468.6666666666809,90.53333333333416,742
independent_square,84,6499372716433625343,78859,95.80565074449026,-75.53333333333333,17357,466.5333333333468,87.40000000000042,692
independent_square,85,13177726361764425040,77160,173.80565074449026,-153.53333333333333,18613,544.5333333333525,165.33333333333545,1371
independent_square,86,17954386242134053637,729634,70.87231741115693,-50.6,18493,441.6000000000162,54.33333333333434,849
independent_square,87,13882706690113470275,99320,103.07231741115693,-82.8,21045,473.80000000001735,103.46666666666883,1044
independent_square,88,15464553209163748111,79895,63.338984077823596,-43.06666666666667,19021,434.0666666666818,52.266666666666254,413
independent_square,89,17009130128556282867,230886,100.00565074449027,-79.73333333333333,17538,470.7333333333479,85.0000000000001,675
independent_square,90,280019076273232642,347969,101.5389840778236,-81.26666666666667,19045,472.26666666668456,93.66666666666757,806
independent_square,91,7426595688938278053,320013,167.1389840778236,-146.86666666666667,19875,537.8666666666799,185.33333333333485,1648
independent_square,92,1358259267230969491,352839,292.6723174111569,-272.4,15528,663.4000000000015,103.33333333333289,548
independent_square,93,9813158736986722592,581973,104.9389840778236,-84.66666666666667,16254,475.6666666666816,74.99999999999979,617
independent_square,94,15967339680215176709,396502,178.07231741115694,-157.8,18844,548.8000000000153,88.9333333333334,635
independent_square,95,14192053071574162429,176076,104.1389840778236,-83.86666666666666,18866,474.86666666668094,90.1333333333333,612
independent_square,96,13829954770160065067,511158,105.27231741115693,-85.0,18245,476.00000000001353,25.733333333333334,227
independent_square,97,4173875877425453360,218128,98.60565074449026,-78.33333333333333,21690,469.3333333333495,76.60000000000038,738
independent_square,98,11357670934265359471,341272,100.40565074449027,-80.13333333333334,21314,471.1333333333507,119.00000000000269,952
independent_square,99,17481986241920288894,572502,100.07231741115693,-79.8,19308,470.80000000001513,112.9333333333349,826
independent_square,100,9014773453175292512,788085,101.9389840778236,-81.66666666666667,22709,472.66666666668226,80.93333333333348,674
