n,K,event,old_best_r,new_best_r,best_ratio,best_margin,exact_holes,max_depth
109974,5,best_r_change,3,2,0.931129175987,7574,9595,8
109975,5,best_r_change,2,3,0.932413730393,7432.8,9486,8
109976,5,best_r_change,3,2,0.93274896341,7396,9391,8
109977,5,best_r_change,2,3,0.931574783818,7525.2,9575,8
109981,5,best_r_change,3,2,0.932679280967,7404,9438,8
109982,5,best_r_change,2,3,0.932233759464,7453.06666667,9502,8
109985,5,best_r_change,3,2,0.932118016093,7466,9492,7
109986,5,best_r_change,2,3,0.932499893926,7424.06666667,9464,8
109988,5,best_r_change,3,2,0.931747099684,7507,9554,8
109992,5,best_r_change,2,3,0.93258661236,7414.93333333,9461,8
109994,5,best_r_change,3,2,0.931969016492,7483,9508,8
109995,5,best_r_change,2,3,0.932610270164,7412.53333333,9449,8
109996,5,best_r_change,3,2,0.932024800902,7477,9516,8
109997,5,best_r_change,2,3,0.932559372831,7418.26666667,9457,8
109998,5,best_r_change,3,2,0.931398752705,7546,9582,8
109999,5,best_r_change,2,3,0.931845441019,7496.93333333,9540,8
110003,5,best_r_change,3,2,0.931683681354,7515,9537,8
110004,5,best_r_change,2,3,0.932283068494,7449.13333333,9479,8
110006,5,best_r_change,3,2,0.932812755668,7391,9419,8
110007,5,best_r_change,2,3,0.93186857806,7494.93333333,9523,8
110010,5,best_r_change,3,2,0.9330879011,7361,9387,8
110011,5,best_r_change,2,3,0.931655925317,7518.6,9580,8
110012,5,best_r_change,3,2,0.932443733411,7432,9434,8
110014,5,best_r_change,2,3,0.93241708631,7435.06666667,9478,8
110017,5,best_r_change,3,2,0.93224683458,7454,9515,8
110019,5,best_r_change,2,3,0.933407865914,7326.4,9381,8
110020,5,best_r_change,3,2,0.932912197782,7381,9430,8
110022,5,best_r_change,2,3,0.93158701593,7526.93333333,9591,8
110023,5,best_r_change,3,2,0.932859493015,7387,9426,8
110024,5,best_r_change,2,3,0.93221115393,7458.4,9499,8
110027,5,best_r_change,3,2,0.931680405719,7517,9539,8
110028,5,best_r_change,2,3,0.932381454418,7439.93333333,9488,8
110029,5,best_r_change,3,2,0.932799534668,7394,9414,8
110030,5,best_r_change,2,3,0.932786209822,7395.53333333,9437,8
110031,5,best_r_change,3,2,0.932937081368,7379,9388,8
110033,5,best_r_change,2,3,0.932904371113,7382.73333333,9429,8
110034,5,best_r_change,3,2,0.931748368686,7510,9549,8
110037,5,best_r_change,2,3,0.931464870907,7541.4,9599,8
110039,5,best_r_change,3,2,0.93238760803,7440,9466,8
110041,5,best_r_change,2,3,0.932359756818,7443.2,9481,7
110044,5,best_r_change,3,2,0.93329940751,7340,9362,8
110045,5,best_r_change,2,3,0.933307283384,7339.2,9375,8
110046,5,best_r_change,3,2,0.932346473293,7445,9475,8
110047,5,best_r_change,2,3,0.932032676947,7479.6,9525,8
110052,5,best_r_change,3,2,0.932431941264,7436,9465,8
110053,5,best_r_change,2,3,0.933686496506,7298,9353,8
110054,5,best_r_change,3,2,0.932015192542,7482,9528,8
110055,5,best_r_change,2,3,0.932711220148,7405.46666667,9464,8
110056,5,best_r_change,3,2,0.931843788617,7501,9525,8
110057,5,best_r_change,2,3,0.932241171999,7457.33333333,9498,8
110061,5,best_r_change,3,2,0.932382951272,7442,9475,8
110064,5,best_r_change,2,3,0.93295537142,7379.2,9430,8
110068,5,best_r_change,3,2,0.932750663226,7402,9464,8
110070,5,best_r_change,2,3,0.931135943793,7579.86666667,9632,8
110071,5,best_r_change,3,2,0.933452044589,7325,9341,8
110073,5,best_r_change,2,3,0.932616839128,7417.06666667,9467,8
110074,5,best_r_change,3,2,0.932499954576,7430,9476,8
110075,5,best_r_change,2,3,0.933232795821,7349.4,9401,8
110078,5,best_r_change,3,2,0.933074728829,7367,9398,8
110079,5,best_r_change,2,3,0.932659271977,7412.8,9451,8
110080,5,best_r_change,3,2,0.932321947674,7450,9458,8
110081,5,best_r_change,2,3,0.9335840578,7311.13333333,9358,8
110084,5,best_r_change,3,2,0.93254242215,7426,9420,8
110088,5,best_r_change,2,3,0.933239469031,7349.53333333,9400,8
110090,5,best_r_change,3,2,0.933063856844,7369,9383,8
110091,5,best_r_change,2,3,0.931695900058,7519.66666667,9560,8
110093,5,best_r_change,3,2,0.932566103204,7424,9467,8
110095,5,best_r_change,2,3,0.931801928637,7508.26666667,9564,8
110096,5,best_r_change,3,2,0.932068376689,7479,9523,8
110097,5,best_r_change,2,3,0.932154372962,7469.6,9511,8
110099,5,best_r_change,3,2,0.933305479614,7343,9400,8
110100,5,best_r_change,2,3,0.9330626703,7369.8,9422,8
110102,5,best_r_change,3,2,0.931200159852,7575,9604,8
110103,5,best_r_change,2,3,0.933785031592,7290.46666667,9345,8
110104,5,best_r_change,3,2,0.932127806438,7473,9490,7
110107,5,best_r_change,2,3,0.932276179837,7456.86666667,9518,8
110109,5,best_r_change,3,2,0.931368008065,7557,9578,8
110110,5,best_r_change,2,3,0.932994278449,7378,9418,8
110111,5,best_r_change,3,2,0.932331919608,7451,9458,8
110112,5,best_r_change,2,3,0.933398721302,7333.6,9394,8
110113,5,best_r_change,3,2,0.933059675061,7371,9426,8
110114,5,best_r_change,2,3,0.932158793008,7470.26666667,9524,8
110118,5,best_r_change,3,2,0.932690386676,7412,9449,8
110121,5,best_r_change,2,3,0.932217590953,7464.26666667,9511,8
